N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;;;;;
89;44;41;0,50;24;;;;;;
90;50;99;1,00;4;;;;;;
91;49;109;1,00;7;;;;;;
92;50;110;1,00;7;;;;;;
93;68;34;0,50;20;;;;;;
94;68;34;0,50;20;;;;;;
95;13;56;0,75;20;;;;;;
96;17;42;0,75;20;;;;;;
97;23;43;0,75;20;;;;;;
98;19;56;0,75;20;;;;;;
99;44;29;0,75;20;;;;;;
100;30;52;0,75;20;;;;;;
101;29;52;0,75;20;;;;;;
102;38;83;0,75;20;;;;;;
103;13;36;0,75;20;;;;;;
104;26;43;0,75;;;;;;;
105;15;43;0,75;;;;;;;
106;32;50;0,75;;;;;;;
107;31;26;0,75;;;;;;;
108;38;26;0,75;;;;;;;
109;34;29;0,75;;;;;;;
110;42;29;0,75;;;;;;;
111;25;47;0,75;;;;;;;
112;12;79;0,75;;;;;;;
113;37;110;0,75;;;;;;;
114;18;79;0,75;;;;;;;
115;26;63;0,50;;;;;;;
116;10;26;0,50;;;;;;;
117;30;99;1,00;;;;;;;
118;50;79;1,00;;;;;;;
119;45;93;1,00;;;;;;;
120;54;119;1,00;;;;;;;
121;49;109;1,00;;;;;;;
122;50;110;1,00;;;;;;;
123;44;49;1,00;;;;;;;
124;47;55;1,00;;;;;;;
125;23;23;0,75;;;;;;;
126;12;15;0,75;;;;;;;
127;22;46;0,75;;;;;;;
128;26;26;0,75;;;;;;;
129;18;36;0,75;;;;;;;
130;15;52;0,75;;;;;;;
131;14;15;0,75;;;;;;;
132;7;15;0,75;;;;;;;
133;10;42;0,75;;;;;;;
134;16;56;0,75;;;;;;;
135;24;52;0,75;;;;;;;
136;28;38;0,75;;;;;;;
137;22;30;0,75;;;;;;;
138;17;24;0,75;;;;;;;
139;23;81;0,75;;;;;;;
140;22;81;0,75;;;;;;;
141;23;102;0,75;;;;;;;
142;20;48;0,75;;;;;;;
143;17;20;0,75;;;;;;;
144;32;38;0,75;;;;;;;
145;27;33;0,75;;;;;;;
146;30;25;0,75;;;;;;;
147;36;30;0,75;;;;;;;
148;46;29;0,50;;;;;;;
149;26;65;0,50;;;;;;;
150;14;19;0,50;;;;;;;
151;32;68;0,50;;;;;;;
152;12;16;0,50;;;;;;;
153;53;69;0,50;;;;;;;
154;36;52;0,50;;;;;;;
155;5;16;0,50;;;;;;;
156;15;21;0,50;;;;;;;
157;16;23;0,25;;;;;;;
158;34;63;0,25;;;;;;;
159;15;20;0,25;;;;;;;
